id,label,predict_result,predict_score,predict_detail,type
1,3,2,0.4578583538532257,{'0': 0.05908583849668503, '1': 0.03332995995879173, '2': 0.4578583538532257, '3': 0.44972577691078186},predict
2,3,2,0.45049259066581726,{'0': 0.07166097313165665, '1': 0.04115540161728859, '2': 0.45049259066581726, '3': 0.4366910457611084},predict
3,1,1,0.5405951738357544,{'0': 0.45837467908859253, '1': 0.5405951738357544, '2': 0.000655640906188637, '3': 0.0003744302084669471},predict
4,3,2,0.4578583538532257,{'0': 0.05908583849668503, '1': 0.03332995995879173, '2': 0.4578583538532257, '3': 0.44972577691078186},predict
5,2,2,0.4578583538532257,{'0': 0.05908583849668503, '1': 0.03332995995879173, '2': 0.4578583538532257, '3': 0.44972577691078186},predict
6,2,2,0.31081971526145935,{'0': 0.25131598114967346, '1': 0.1659347414970398, '2': 0.31081971526145935, '3': 0.2719295918941498},predict
7,2,2,0.33255815505981445,{'0': 0.22616954147815704, '1': 0.14713136851787567, '2': 0.33255815505981445, '3': 0.29414084553718567},predict
8,3,2,0.4553864002227783,{'0': 0.06344661861658096, '1': 0.03602584823966026, '2': 0.4553864002227783, '3': 0.4451411962509155},predict
9,3,0,0.4365936815738678,{'0': 0.4365936815738678, '1': 0.3252371549606323, '2': 0.1322721540927887, '3': 0.1058969721198082},predict
10,1,1,0.5620874166488647,{'0': 0.43755751848220825, '1': 0.5620874166488647, '2': 0.0002311003190698102, '3': 0.00012394074292387813},predict
11,3,0,0.4255610406398773,{'0': 0.4255610406398773, '1': 0.31399065256118774, '2': 0.14419133961200714, '3': 0.1162569522857666},predict
12,1,0,0.44783681631088257,{'0': 0.44783681631088257, '1': 0.33719268441200256, '2': 0.11980472505092621, '3': 0.09516579657793045},predict
13,2,2,0.4578583538532257,{'0': 0.05908583849668503, '1': 0.03332995995879173, '2': 0.4578583538532257, '3': 0.44972577691078186},predict
14,3,2,0.45061904191970825,{'0': 0.07145439088344574, '1': 0.041025612503290176, '2': 0.45061904191970825, '3': 0.43690091371536255},predict
15,2,2,0.44352999329566956,{'0': 0.08267532289028168, '1': 0.04813122749328613, '2': 0.44352999329566956, '3': 0.42566341161727905},predict
16,0,1,0.5285875797271729,{'0': 0.4695727229118347, '1': 0.5285875797271729, '2': 0.001156266313046217, '3': 0.0006833493243902922},predict
17,3,2,0.3937695324420929,{'0': 0.15140271186828613, '1': 0.09379040449857712, '2': 0.3937695324420929, '3': 0.36103731393814087},predict
18,2,2,0.4578583538532257,{'0': 0.05908583849668503, '1': 0.03332995995879173, '2': 0.4578583538532257, '3': 0.44972577691078186},predict
19,1,1,0.5158219933509827,{'0': 0.48083198070526123, '1': 0.5158219933509827, '2': 0.002075290074571967, '3': 0.0012706839479506016},predict
20,0,0,0.5051144957542419,{'0': 0.5051144957542419, '1': 0.41910460591316223, '2': 0.043562259525060654, '3': 0.032218631356954575},predict
21,2,2,0.4578583538532257,{'0': 0.05908583849668503, '1': 0.03332995995879173, '2': 0.4578583538532257, '3': 0.44972577691078186},predict
22,3,2,0.37556910514831543,{'0': 0.17437170445919037, '1': 0.1097806990146637, '2': 0.37556910514831543, '3': 0.34027841687202454},predict
23,2,2,0.30027148127555847,{'0': 0.26330408453941345, '1': 0.17506416141986847, '2': 0.30027148127555847, '3': 0.2613603174686432},predict
